PARAMETER,PARAMETER,TEST CONDITIONS,TEST CONDITIONS,MIN (1),TYP (2),MAX (1),UNIT
SYSTEM PARAMETERS (3) (see Figure 9-13 for test circuit),SYSTEM PARAMETERS (3) (see Figure 9-13 for test circuit),SYSTEM PARAMETERS (3) (see Figure 9-13 for test circuit),SYSTEM PARAMETERS (3) (see Figure 9-13 for test circuit),SYSTEM PARAMETERS (3) (see Figure 9-13 for test circuit),SYSTEM PARAMETERS (3) (see Figure 9-13 for test circuit),SYSTEM PARAMETERS (3) (see Figure 9-13 for test circuit),SYSTEM PARAMETERS (3) (see Figure 9-13 for test circuit)
V OUT,Output voltage,"4.75 V ≤ V IN ≤ 40 V,",T J = 25°C,3.168,3.3,3.432,V
V OUT,,0.2 A ≤ I LOAD ≤ 3 A,-40°C ≤ T J ≤ 125°C,3.135,,3.465,V
η,Efficiency,"V IN = 12 V, I LOAD = 3 A",,73%,,,
